username,author_id,conversation_id,created_at,hashtags,mentions,like_count,quote_count,reply_count,retweet_count,retweet,reply,quote,reply_settings,source,text
jeanlassalle,102722347,1443523101283737607,2021-09-30T10:28:21.000Z,,"['LaRepDpyrenees', 'jeanlassalle']",0,0,0,22,True,False,False,everyone,Twitter for iPhone,"RT @LaRepDpyrenees: Présidentielle 2022 : @jeanlassalle appelle aux parrainages dans une vidéo
https://t.co/hqSLfZne1Q https://t.co/GEbGwTd…"
jeanlassalle,102722347,1443491084827566081,2021-09-30T08:21:08.000Z,,['francebleu'],0,0,0,19,True,False,False,everyone,Twitter for iPhone,"RT @francebleu: VIDÉO - Présidentielle : Jean Lassalle en quête de parrainages pour sa candidature
➡️ https://t.co/6wVqFidNI8 https://t.co/…"
AlexLanglois_,794465538575663105,1444326219995127810,2021-10-02T15:39:39.000Z,['Presidentielle2022'],"['Le_Pluraliste', 'AlexLanglois_', 'YouTube']",0,0,0,10,True,False,False,everyone,Twitter for Android,"RT @Le_Pluraliste: 2 minutes pour découvrir la candidature d'@AlexLanglois_  pour la #Presidentielle2022.
L'interview complète :
@YouTube :…"
AlexLanglois_,794465538575663105,1444324503975305219,2021-10-02T15:32:50.000Z,,['BVoltaire'],10,0,1,5,False,False,False,everyone,Twitter for Android,"Alexandre Langlois : « Aujourd’hui, rien n’est fait, on n’est pas à l’abri que ça se reproduise demain » https://t.co/3dcLSKggng via @bvoltaire"
AlexLanglois_,794465538575663105,1443902282597376002,2021-10-01T15:33:53.000Z,,"['MontbrialAvocat', 'TiboChevillard', 'GDarmanin']",0,0,0,0,False,False,False,everyone,Twitter for Android,"@MontbrialAvocat @TiboChevillard @GDarmanin Condamnation car je suis responsable légale d'un syndicat, non pour des écrits personnels. 
La représentativité au sein de la police nécessite un débat trop long pour Twitter.
Mais nous pouvons organiser un débat non ad personam mais pour améliorer nos institutions.

Bien à vous."
AlexLanglois_,794465538575663105,1443902282597376002,2021-10-01T13:55:22.000Z,,"['TiboChevillard', 'MontbrialAvocat', 'GDarmanin']",2,0,1,2,False,False,False,everyone,Twitter for Android,"@TiboChevillard @MontbrialAvocat Droit de réponse : policier noter 6/7 avec éloge de sa hiérarchie, viré arbitrairement par @GDarmanin et réintégré par la Justice. 

Dommage qu'un avocat de son envergure ne respecte pas une décision de Justice, par militantisme politique."
AlexLanglois_,794465538575663105,1443902282597376002,2021-10-01T13:49:23.000Z,['Benalla'],"['Impulsaxl', 'TiboChevillard', 'MontbrialAvocat', 'MontbrialAvocat', 'EmmanuelMacron']",1,0,1,1,False,False,False,everyone,Twitter for Android,"@Impulsaxl @TiboChevillard @MontbrialAvocat J'y étais et @MontbrialAvocat a profité d'être à la barre pour me diffamer par des propos mensongers car c'est le seul endroit où il ne peut pas être poursuivi pour ses propos. Une sorte d'@EmmanuelMacron seul responsable dans l'affaire #Benalla, mais irresponsable légalement."
AlexLanglois_,794465538575663105,1443867666633138179,2021-10-01T10:41:51.000Z,,"['Rhubarbare', 'EmmanuelMacron']",5,0,0,0,False,False,False,everyone,Twitter for Android,"@Rhubarbare @EmmanuelMacron Le passe sanitaire est sécuritaire et non sanitaire, donc oui."
AlexLanglois_,794465538575663105,1443881699985723405,2021-10-01T10:13:17.000Z,"['Benalla', 'refondation2022']",['EmmanuelMacron'],22,0,0,4,False,False,False,everyone,Twitter Web App,"« Le seul responsable de cette affaire, c’est moi. Ce n’est pas la république des fusibles.» 
@EmmanuelMacron
 sur l'affaire #Benalla. 

Responsabilité en parole, pas en acte. 

Avec #refondation2022 les mêmes droits et les mêmes devoirs pour tous. https://t.co/bzDbZO5rZT"
AlexLanglois_,794465538575663105,1443867666633138179,2021-10-01T10:10:04.000Z,,"['Rhubarbare', 'EmmanuelMacron']",0,0,1,0,False,False,False,everyone,Twitter Web App,@Rhubarbare @EmmanuelMacron Plus de précisions ici : https://t.co/0zmHZJJSRK
